description,item_id,span,inflRank,upSh12m,upCh12m,upShLR,upChLR,upSh1m,upCh1m,date,nPrices,desc_short
DISH WASHER 12-15 PLACE SET,430356,140,460,.42657343,.3662467,.49679005,.19737275,.47777778,.11805132,416,180,
GIN BOTTLE 70CL,310429,68,461,.42500001,.087171599,.34092802,.13886914,.1557789,.14724655,416,199,
CHILD'S SOFT TOY/TEDDY BEAR,630332,260,462,.42201835,.39779523,.32921547,.45532927,.057553958,.21374951,416,139,
BLU RAY DISC (FILM) FROM CHART,630233,152,463,.42105263,.52827382,.30173114,.3370505,.15000001,.44444445,416,20,
LAGER 4 BOTTLES- PREMIUM,310215,224,464,.41975307,.12816504,.43370959,.129867,.18518518,.18456998,416,189,
MEN'S FOOTBALL BOOTS,630343,224,465,.41891891,.48114926,.43947619,.3966108,.07692308,.3475087,416,91,
NON-NHS MEDICINE-PHYSIOTHERAPY,520313,293,466,.41463414,.095216937,.33844826,.10913356,.021739131,.076863877,416,138,
GENT'S WATCH- ANALOGUE FACE,520131,224,467,.41401273,.36120647,.36370701,.44863802,.105,.11297674,416,200,
LIQUID SOAP 200-300ML,520247,152,468,.41232228,.14783455,.32417473,.40912098,.11403508,.23693742,416,228,
CHOCOLATE LARGE BAR 100-200G,212225,80,469,.40853658,.21106228,.22044471,.30224502,.16363636,.40580243,416,165,
CONDITIONER FOR HAIR,520248,140,471,.40251571,.43288261,.30152074,.62757725,.20618556,.57353777,416,194,
BASIC MANICURE,520331,216,472,.40243903,.22125158,.25468355,.14582109,.04040404,.14763513,416,99,
PRIVATE HEALTH CLUB ANNUAL FEE,640226,251,473,.40186915,.17556393,.33964989,.15855259,.043478262,.1618924,416,115,
EARRINGS- FASHION,520123,272,474,.40140846,.48136282,.34752786,.67052227,.060301509,.2950159,416,199,
CARTON/BOX OF CHOCS 150-400GM,212218,320,475,.40000001,.40805462,.31375971,.26506457,.025641026,.078173965,416,78,
GREETINGS CARD; STATE CODE,430526,260,476,.40000001,.19312112,.27498966,.21202312,.044280443,.11728939,416,271,
CURTAINS READY MADE SP'FY SIZE,430236,56,477,.39869282,.71914744,.32498515,.37035787,.051282052,.64033222,416,156,
BALL POINT,430503,413,478,.39784947,.28990021,.35250667,.35812336,.11627907,.39551562,416,215,Ballpoint pen
POTTED SHRUB,630519,260,479,.39534885,.32456878,.26269451,.45471385,.068965517,.58340281,416,58,
WOMEN'S PANTS,510406,413,480,.39473686,.35133004,.3144857,.46639776,.13358779,.31675008,416,262,Womens pants
PRIMARY SCHOOL- FIXED CHARGE,220209,230,481,.39097744,.065604053,.57172221,.35726932,.24264705,.059399921,416,136,
SMALL TYPE ORANGES PER PACK/KG,212725,176,482,.39024389,.25938746,.41779175,.29244462,.090517238,.26741782,416,232,
BEGINNER'S ACOUSTIC GUITAR,630342,222,483,.3888889,.19994582,.34463441,.21231474,.086956523,.11597946,416,69,
AVOCADO PEAR-EACH,212710,403,484,.38601825,.31406242,.39428765,.30323523,.14736842,.21551469,416,380,Avocado
CANVAS FASHION ADULT SHOE/TRAI,510535,104,485,.3859649,.41925871,.31046084,.51870054,.10096154,.38326338,416,208,
SUGAR -GRANULATED-WHITE-PER KG,212101,414,486,.38235295,.17483395,.50125289,.1326862,.14718615,.062971368,416,231,Sugar
HOME REMOVAL- 1 VAN,440123,222,487,.38144329,.30889678,.33675456,.29941815,.057142857,.18036264,416,105,
BOOK - FICTION - HARD COVER,630435,140,489,.37878788,.18607542,.41721365,.32450938,.44230768,.24348757,416,156,
HOURLY RATE FOR SOLICITOR,440254,210,490,.37878788,.15831038,.36344162,.12286808,.03846154,.18787879,416,78,
BOOK-NON-FICTION-PAPER-BACK,630426,308,491,.37755102,.22824043,.34158269,.29173139,.13600001,.20507815,416,125,
PRE-RECORDED DVD (NON-FILM),630229,188,492,.375,.93333334,.38995147,.60557073,0,,416,7,
GIRLS FASHION TOP 12-13 YEARS,510340,224,493,.37430167,.45164686,.41906068,.45274091,.35260117,.42726719,416,173,
FORTIFIED WINE  (70-75CL),310406,413,494,.37362638,.092148118,.52219778,.1236086,.29319373,.15903613,416,191,Sherry
BASIC WILL FOR A SINGLE PERSON,440240,246,495,.37288135,.21938311,.3772172,.23230702,.01369863,.51351351,416,73,
INDIGESTION TABLETS 16-24 PACK,520202,413,496,.37272727,.18309405,.58069444,.1332441,.009615385,.080321305,416,104,Indigestion tablets
CARBON FIBRE FISHING ROD,630340,224,497,.37209302,.17349705,.29851484,.23797303,0,,416,56,
PEARS-DESSERT-PER KG,212718,413,498,.37037036,.23873055,.4421764,.23128599,.047619049,.2386101,416,273,Pears
SUNSCREEN - SPEC SIZE/SPF,520235,260,499,.36842105,.32823926,.3478696,.40386686,.053333335,.38626373,416,75,
NECKLACE FASHION APX 16/20 INS,520140,104,500,.36746988,.41318154,.32439169,.59215593,.042452831,.31331518,416,212,
NON NHS CHIROPRACTOR,520332,209,501,.36567163,.13845745,.24367486,.12644917,.028169014,.22908553,416,142,
FRUIT DRINK BOTTLE 4-8 PACK,212020,152,502,.36538461,.14680855,.37279633,.36077371,.094674557,.0526089,416,169,
TOOTHBRUSH,520244,188,503,.36269429,.56852007,.32427624,.55968493,.081896551,.59866208,416,232,
BOXED BOARD GAME: NOT TRAVEL,630309,413,504,.35833332,.15651107,.44573236,.24233824,.21428572,.43406621,416,140,Board game
BOOK-NON-FICTION-HARD-COVER,630425,308,505,.35779816,.23003048,.43412742,.3056716,.23571429,.47789329,416,140,
CYCLE HELMET 12+ SPEC ROAD/MOU,620319,68,506,.35748792,.18059604,.36351725,.31433424,.1328125,.41156968,416,256,
MINTS,212202,414,507,.35555556,.14390899,.5560289,.123673,.037383176,.12500001,416,107,Mints
STERLING SILVER EARRINGS,520137,176,508,.35526314,.30031848,.36185017,.48879924,.045454547,.21744786,416,176,
PHOTO FRAME,520136,176,509,.35416666,.38250539,.27783969,.52354747,.011764706,.10894822,416,170,
MOBILE PHONE ACCESSORY,520141,92,510,.35233161,.40744853,.35340425,.67883843,.075000003,.66227782,416,240,
ACTION CAMERA,630377,56,511,.35135135,2.2997169,.35431528,.75880259,.023255814,.36112115,416,86,
LIVERY CHARGES PER WEEK,640240,176,512,.34736842,.088812284,.29154888,.12066957,.020408163,.063431859,416,98,
POTATOES- BAKING PR KG,212311,204,513,.34154931,.24729604,.36116922,.26180774,.23952095,.13738173,416,334,
SELF TANNING PRODUCT,520253,32,514,.33962265,.44180021,.33121598,.68839717,.17012449,.54947305,416,241,
CAR BULB 12 VOLT SPECIFY WATTS,610237,116,515,.33653846,.56298757,.28861398,.28952116,.086956523,.15501893,416,115,
RUM WHITE EG BACARDI 70CL BOTT,310427,116,516,.33333334,.13659821,.33023545,.13768336,.085427135,.16370778,416,199,
GIRLS TROUSERS NOT DENIM 5-13,510344,200,517,.33050847,.42308739,.3822099,.44055563,.19140625,.7293272,416,256,
"EVENT CATERING, SET MENU, COST",440121,243,518,.33000001,.22635256,.34218806,.14269105,.0092592593,.11764706,416,108,
CEREAL BAR,210215,152,519,.32903227,.62400264,.31584179,.43010274,.24043716,.69007856,416,183,
WINDOW-CLEAN 3-BED SEMI,440113,332,520,.32894737,.24844709,.32293519,.20640951,.017441861,.16913921,416,172,
WOMENS LEGGINGS FULL LENGTH,510258,80,521,.32800001,.72391111,.23424858,.54947096,.086330935,.27449912,416,278,
"TELEVISION 40"" OR LARGER",630160,56,522,.32692307,.62346959,.46039715,.33404535,.1754386,.17179844,416,171,
PREMIUM POTATO CRISPS/CHIPS,212408,212,523,.32432431,.27175128,.48431307,.33790949,.2551724,.34444237,416,145,
MENS 3/4 TO FULL LENGTH COAT,510130,117,524,.32380953,.41875556,.46205124,.47859263,,,416,0,
LIQUID FOUNDATION 30-35ML,520243,200,525,.32278481,.22621633,.34147212,.21477094,.03888889,.23858662,416,180,
BOOK FICTION P/BACK TOP 10,630439,80,526,.32121211,.28534186,.31151554,.21535856,.067708336,.12310375,416,192,
PLAYGROUP FEES - PER SESSION,440129,197,527,.32038835,.18626156,.47721329,.15933396,.03875969,.26756498,416,129,
POTATO CRISPS-INDIVIDUAL PACK,220310,406,528,.31884059,.1880755,.38028872,.16606642,.011583012,.21754387,416,259,"Crisps, single pack"
GIRLS LEGGINGS 5-13 YEARS,510349,56,529,.31799164,.3613041,.31017441,.59112245,.081560284,.31936654,416,282,
WASHING MACHINE REPAIR,440116,283,530,.31521741,.16236205,.29338351,.20815629,.026785715,.15581676,416,112,
MENS SOCKS 1 PAIR,510413,413,531,.31441048,.33606559,.26859489,.39332706,.10116731,.2038237,416,257,Mens socks
CHOCOLATE 4,212211,414,532,.31395349,.15181972,.55534786,.089204095,.009615385,.029850718,416,104,Chocolate
PACKET OF PEANUTS 150-300G,212806,414,533,.30769232,.12958944,.43462032,.21072324,.016260162,.083918147,416,246,Peanuts
"SWEETS, NOT CHOC, 150-250G BAG",212224,128,534,.3046875,.33623081,.19739567,.29904005,.15068494,.51639116,416,146,
CHILD MINDER - HOURLY RATE,440120,259,535,.30392158,.1711158,.31073436,.12557514,.030534351,.062348355,416,131,
ANTIHISTAMINE ALLERGY TABLETS,520245,152,536,.30167598,.48583961,.29973641,.38855973,.12637363,.29098013,416,182,
WOMENS SPORTSWEAR SHORTS,510254,200,537,.30147058,.52528793,.4405776,.45720881,.12101911,.28835827,416,157,
PRE-RECORDED DVD (FILM),630228,188,538,.30000001,.42857143,.28055888,.40334412,.25,.55714285,416,20,
LEMON EACH,212732,80,539,.2962963,.35632387,.28692922,.21653886,.094623655,.23743358,416,465,
FABRIC ROLLER BLIND 120-180CM,430229,248,540,.2923077,.29952741,.29083234,.27086991,.021428572,.16677782,416,140,
WHITE WINE- NEW WORLD 75CL,310420,224,541,.28999999,.39486766,.46228081,.18817881,.21559633,.13809228,416,218,
FRUIT PASTILLES 2,212214,414,542,.28947368,.13658053,.53431392,.10490151,.010204081,.1666666,416,98,Fruit pastilles
CAR PARK CHARGES,620315,224,543,.2857143,.23302712,.28930292,.24772421,.010416667,.056585647,416,192,
CD ALBUM (NOT CHART),630231,176,544,.27272728,.78888887,.27633494,.6781916,0,,416,10,
DIGITAL DEVELOPMENT PER PRINT,630359,176,545,.27173913,.56597531,.26450664,.36608586,.046728972,.25949287,416,107,
RED WINE- NEW WORLD 75CL,310422,224,546,.26903552,.097853757,.45670405,.16809478,.20982143,.14965172,416,224,
LIP GLOSS,520246,152,547,.26086956,.33658996,.37497044,.25679624,.13043478,.27167711,416,184,
RAZOR CARTRIDGE BLADES,520241,212,548,.25842696,.17068848,.50114357,.20443152,.053571429,.31393075,416,112,
BOTTLE OF MIXER 125-200ML,310306,300,549,.25345623,.17968115,.42704332,.12070268,.032258064,.092907436,416,279,
CAR WASH HAND OR AUTOMATIC,610238,104,550,.25,.28074259,.18064426,.34340626,.029999999,.21794872,416,100,
HOUSEPLANT,630507,402,551,.24603175,.74741524,.29092091,.5982551,.055555556,.31213292,416,144,Houseplant
"CAR MOT TEST FEE, VAT EXEMPT",610227,284,552,.24285714,.15488693,.36573529,.11914467,.019672131,.17266896,416,305,
PORTABLE DIGITAL STORAGE DEVIC,630358,176,553,.23566879,.32312691,.3270261,.44890752,.071428575,.4248696,416,182,
SHEET OF WRAPPING PAPER,430535,212,554,.23,.44070429,.20670326,.38602421,.020576132,.10809521,416,243,
CHOCOLATE 10,212222,235,555,.22950819,.1226534,.51363301,.10190852,.012048192,.047058776,416,83,
DAILY DISPOSABLE SOFT LENSES,520139,116,556,.21818182,.33901247,.13833915,.22440845,.024,.1000555,416,125,
CONSTRUCTION TOY: SPEC KIT NO,630314,413,557,.21495327,.47892949,.38956329,.35661352,.26119402,.30121046,416,134,Meccano
HEADPHONES/EARPHO SPECIFY TYPE,630156,92,558,.2,1.0611355,.36394823,.76036352,.11656442,.12898743,416,326,
RICE MICRO POUCH/TRAY 220-280G,210217,80,559,.19004525,.13581252,.22918998,.40107965,.017167382,.61898732,416,233,
CARPENTER HOURLY RATE,410518,210,560,.17045455,.24772377,.19277251,.14982985,.022727273,.16161619,416,88,
BOOK ILLUSTRATED FOR UNDER 5,630434,200,561,.16030534,.19843027,.19875848,.2932089,.021276595,.19074869,416,141,
SPECTACLE FRAMES WITH LENSE,520138,140,562,.14953271,.20376335,.16259848,.30847594,.025210084,.04365794,416,119,
LIGHT BULB,430524,296,563,.13861386,.34639251,.31154916,.57385343,.047619049,.10444444,416,105,
WEEKLY NANNY FEES,440126,208,564,.13333334,.28333333,.3313871,.12153456,.02631579,.25,416,38,
"TELEVISION 39"" OR SMALLER",630159,56,565,.1262136,.13142037,.40148145,.20182066,.31906614,.15832892,416,257,
DECORATOR-DAILY RATE;SPEC HRS,410517,258,566,.12380952,.21529116,.24469517,.1322055,.01904762,.10285614,416,105,
PLUMBER-DAYTIME HOURLY RATE,410508,390,567,.12068965,.1702179,.30071461,.19371317,.049586777,.13291644,416,121,Plumber
WATCH BATTERY REPLACEMENT,440131,156,568,.11278196,.97434968,.26032889,.5084641,.012195121,.038373683,416,164,
PC REPAIR,440118,284,569,.10769231,.17883112,.25068149,.24412911,.00729927,.25,416,137,
E-CIG REFILL BOTTL/CART 2-10ML,320124,80,570,.10752688,.71464741,.18379869,.38780794,.025,.11684002,416,200,
ELECTRICIAN-DAYTIME RATE/HOUR,410509,390,571,.1,.13871455,.34671736,.19251652,.014285714,.12692308,416,140,Electrician
SMALL CAGED MAMMAL,430623,211,572,.057971016,.47935838,.29920593,.20646484,0,,416,87,
